,Open,High,Low,Close,Volume
2025-02-18 04:15:00,408.6948,409.1839,408.6150,408.9144,4574
2025-02-18 04:00:00,409.5132,409.7228,407.3874,408.6948,11137
2025-02-14 19:45:00,407.2377,407.3375,407.1878,407.2377,4230
2025-02-14 19:30:00,407.2677,407.3375,407.1878,407.2677,1712
2025-02-14 19:15:00,407.3363,407.3575,407.2278,407.2777,1673
2025-02-14 19:00:00,407.3355,407.3375,407.2377,407.2876,2055
2025-02-14 18:45:00,407.2976,407.6170,407.2577,407.2593,61183
2025-02-14 18:30:00,407.3375,407.3375,407.2377,407.2976,3317
2025-02-14 18:15:00,407.4473,407.5072,407.2876,407.3375,3999
2025-02-14 18:00:00,407.3176,407.5870,407.2876,407.5870,2499
2025-02-14 17:45:00,407.5771,407.5870,407.2876,407.5870,6013
2025-02-14 17:30:00,407.4772,407.9663,407.3874,407.5820,8864
2025-02-14 17:15:00,407.4473,433.7516,379.0501,407.4772,12534
2025-02-14 17:00:00,407.3675,408.0361,379.0501,407.3874,797959
2025-02-14 16:45:00,407.4872,407.5172,407.3076,407.4274,7980
2025-02-14 16:30:00,407.5232,407.6170,407.1878,407.5172,6734
2025-02-14 16:15:00,407.6065,407.6170,406.9882,407.4872,38248
2025-02-14 16:00:00,407.5172,407.9763,406.9383,407.4074,8354123
2025-02-14 15:45:00,406.2868,408.0960,406.2597,407.5172,1497477
2025-02-14 15:30:00,406.0394,406.6097,406.0014,406.2953,514737
2025-02-14 15:15:00,406.4293,406.6689,405.8804,406.0351,501880
2025-02-14 15:00:00,406.3595,406.4094,406.0301,406.4094,310136
2025-02-14 14:45:00,407.0182,407.0980,406.0202,406.3345,430228
2025-02-14 14:30:00,406.9284,407.1280,406.8406,407.0282,214104
2025-02-14 14:15:00,407.3675,407.4373,406.7787,406.9084,294450
2025-02-14 14:00:00,407.7367,407.7866,407.2278,407.3775,287465
2025-02-14 13:45:00,407.6170,407.9164,407.5771,407.7218,231992
2025-02-14 13:30:00,406.9882,407.7218,406.9882,407.6266,290356
2025-02-14 13:15:00,407.0581,407.2278,406.6988,407.0082,263881
2025-02-14 13:00:00,406.9234,407.2377,406.8904,407.0880,255092
2025-02-14 12:45:00,406.9433,407.2377,406.8082,406.9184,379094
2025-02-14 12:30:00,406.7387,407.1379,406.5840,406.9158,231677
2025-02-14 12:15:00,406.9932,407.3874,406.7088,406.7188,493539
2025-02-14 12:00:00,407.1180,407.3650,406.6888,407.0082,343654
2025-02-14 11:45:00,407.4872,407.5072,406.5991,407.1080,368795
2025-02-14 11:30:00,407.0094,407.5121,406.9084,407.5121,438706
2025-02-14 11:15:00,406.5491,407.0381,405.7856,407.0089,475263
2025-02-14 11:00:00,406.9882,406.9882,406.4194,406.5990,431171
2025-02-14 10:45:00,406.1200,407.1779,405.9403,406.9483,666889
2025-02-14 10:30:00,405.4313,406.1898,405.0721,406.1499,1947162
2025-02-14 10:15:00,406.2297,406.3894,405.3914,405.4313,796751
2025-02-14 10:00:00,405.6908,406.7886,405.6110,406.2397,808895
2025-02-14 09:45:00,405.5062,407.3675,405.4313,405.7307,1712102
2025-02-14 09:30:00,406.9783,407.8964,405.3615,405.4713,2396031
2025-02-14 09:15:00,408.2058,433.3207,406.5591,406.7886,97793
2025-02-14 09:00:00,408.4353,408.6848,407.8844,408.1858,34776
2025-02-14 08:45:00,408.6769,408.8845,408.2856,408.4353,26333
2025-02-14 08:30:00,408.9443,409.4433,408.6449,408.6649,28119
2025-02-14 08:15:00,408.8944,408.9843,408.8745,408.9443,7486
2025-02-14 08:00:00,410.0846,410.3615,408.2772,408.8944,20943
2025-02-14 07:45:00,408.8545,408.9942,408.7048,408.9344,2081
2025-02-14 07:30:00,408.9044,408.9743,408.7847,408.8246,1938
2025-02-14 07:15:00,408.9344,408.9942,408.7847,408.9344,2651
2025-02-14 07:00:00,409.0940,409.1839,408.7946,408.9843,4346
2025-02-14 06:45:00,408.3355,409.1839,408.3256,408.9743,8443
2025-02-14 06:30:00,408.8445,408.9344,408.2856,408.3555,5293
2025-02-14 06:15:00,409.1439,409.3036,408.6848,408.7248,4514
2025-02-14 06:00:00,409.3635,409.4134,408.8845,409.2238,3603
2025-02-14 05:45:00,409.3336,409.4234,409.1340,409.3635,3218
2025-02-14 05:30:00,409.3835,409.4334,409.2038,409.3435,1668
2025-02-14 05:15:00,409.2437,409.5232,409.2437,409.3934,1889
2025-02-14 05:00:00,409.7827,409.7827,409.1839,409.3236,2156
2025-02-14 04:45:00,409.8625,409.9523,409.6429,409.8625,2646
2025-02-14 04:30:00,410.1220,410.1819,409.6829,409.8825,6537
2025-02-14 04:15:00,410.0222,410.1619,409.8825,410.0821,3133
2025-02-14 04:00:00,410.3815,410.3815,408.6848,410.1320,14990
2025-02-13 19:45:00,409.4633,409.6829,409.3835,409.5332,2582
2025-02-13 19:30:00,409.3635,409.5431,409.2837,409.5032,2951
2025-02-13 19:15:00,409.1839,409.5731,409.1340,409.3635,4615
2025-02-13 19:00:00,409.1839,409.7228,409.0841,409.1839,19107
2025-02-13 18:45:00,409.2837,409.2837,409.0403,409.1689,2598
2025-02-13 18:30:00,409.2831,409.2837,409.0841,409.1539,1677
2025-02-13 18:15:00,409.0441,409.3336,408.9843,409.2338,5321
